abo_nr,firma_nr,tarif_id,anz_seats,mrr_betrag,arr_betrag,start_dat,ende_dat,stat_txt
1,52,3,5,1245.0,14940.0,2023-10-28,,mahnung
2,110,1,2,78.0,936.0,2023-08-01,,aktiv
3,78,1,2,78.0,936.0,2023-12-10,,trial
4,60,4,104,83096.0,997152.0,2023-12-11,,mahnung
5,16,3,14,3486.0,41832.0,2023-06-07,,trial
6,106,1,2,78.0,936.0,2023-08-21,,aktiv
7,97,4,132,105468.0,1265616.0,2024-03-17,2024-04-08,gekündigt
8,34,1,2,78.0,936.0,2023-11-12,,mahnung
9,85,4,113,90287.0,1083444.0,2023-06-06,,trial
10,99,4,100,79900.0,958800.0,2024-06-30,2024-12-24,gekündigt
11,9,4,122,97478.0,1169736.0,2024-07-25,2024-09-17,gekündigt
12,63,4,11,8789.0,105468.0,2024-01-23,2024-04-01,gekündigt
13,19,1,1,39.0,468.0,2024-03-29,2024-10-24,gekündigt
14,94,1,2,78.0,936.0,2023-10-21,,trial
15,11,2,2,198.0,2376.0,2023-09-25,,mahnung
16,22,2,6,594.0,7128.0,2024-01-06,,trial
17,78,1,2,78.0,936.0,2024-06-23,,aktiv
18,69,1,2,78.0,936.0,2023-11-02,,aktiv
19,27,4,64,51136.0,613632.0,2024-09-27,,trial
20,81,2,3,297.0,3564.0,2024-10-10,,trial
21,90,3,6,1494.0,17928.0,2023-11-23,,aktiv
22,5,2,1,99.0,1188.0,2024-02-22,,aktiv
23,120,1,2,78.0,936.0,2024-06-16,,trial
24,115,1,1,39.0,468.0,2024-02-24,,mahnung
25,81,3,29,7221.0,86652.0,2024-03-08,2024-05-02,gekündigt
26,56,1,1,39.0,468.0,2024-02-12,,trial
27,37,3,2,498.0,5976.0,2024-04-27,,aktiv
28,96,3,10,2490.0,29880.0,2024-04-12,,mahnung
29,98,1,1,39.0,468.0,2024-10-04,,mahnung
30,34,3,15,3735.0,44820.0,2024-06-30,,mahnung
31,48,4,2,1598.0,19176.0,2024-04-22,,aktiv
32,58,3,6,1494.0,17928.0,2023-07-31,2023-12-05,gekündigt
33,55,1,2,78.0,936.0,2023-10-20,2024-07-17,gekündigt
34,119,1,1,39.0,468.0,2023-09-12,,mahnung
35,105,2,2,198.0,2376.0,2024-02-27,,trial
36,120,2,2,198.0,2376.0,2023-08-28,,mahnung
37,102,3,17,4233.0,50796.0,2024-01-19,,aktiv
38,59,1,1,39.0,468.0,2024-07-22,,trial
39,49,4,67,53533.0,642396.0,2024-07-27,,aktiv
40,64,2,4,396.0,4752.0,2023-08-13,,mahnung
41,94,1,2,78.0,936.0,2024-05-28,2024-10-11,gekündigt
42,75,3,26,6474.0,77688.0,2023-07-26,,aktiv
