tix_nr,firma_nr,usr_id,auf_dat,typ_txt,prio,bearb_h,stat_txt
1,52,412,2024-01-05,ausfall,k,20.0,warte
2,110,110,2023-09-30,frage,n,39.0,offen
3,16,,2023-06-30,rechnung,k,34.9,offen
4,106,106,2023-10-13,bug,n,50.5,offen
5,97,,2024-06-05,bug,h,45.1,erledigt
6,9,489,2024-10-28,rechnung,h,24.5,warte
7,63,423,2024-05-14,frage,k,1.4,offen
8,19,619,2024-05-01,rechnung,n,59.3,offen
9,11,491,2023-12-17,ausfall,h,10.0,warte
10,22,622,2024-03-14,bug,k,38.1,warte
11,78,438,2024-07-01,frage,h,54.2,warte
12,27,,2024-12-18,ausfall,h,54.6,warte
13,81,81,2024-10-23,bug,n,4.8,erledigt
14,5,485,2024-05-05,bug,h,22.2,offen
15,120,,2024-08-18,frage,k,23.4,warte
16,37,637,2024-05-02,bug,k,55.2,warte
17,96,,2024-06-12,ausfall,n,1.1,warte
18,34,634,2024-08-03,frage,n,48.7,offen
19,48,48,2024-08-07,rechnung,h,14.9,erledigt
20,58,418,2023-10-20,rechnung,k,31.2,warte
21,55,295,2023-11-03,ausfall,n,17.9,erledigt
22,119,,2023-10-24,rechnung,n,26.5,erledigt
23,120,360,2023-10-27,ausfall,h,12.2,offen
24,64,544,2023-10-28,frage,k,39.1,offen
25,75,555,2023-08-26,frage,n,30.1,erledigt
26,104,344,2024-09-15,bug,k,3.7,offen
27,26,26,2024-08-27,rechnung,k,38.5,warte
28,20,,2024-07-27,frage,n,21.8,erledigt
29,80,,2024-01-15,bug,k,59.4,erledigt
30,50,170,2024-03-11,frage,h,18.9,warte
31,17,257,2024-01-20,ausfall,k,19.9,warte
32,69,69,2024-06-30,rechnung,h,45.0,warte
33,81,81,2024-02-26,bug,h,53.6,offen
34,106,106,2024-01-24,ausfall,n,10.4,warte
35,17,257,2023-09-21,rechnung,h,56.1,offen
36,6,,2023-10-04,frage,h,48.3,warte
37,23,143,2023-09-27,rechnung,n,55.0,warte
38,94,,2024-08-27,bug,k,5.0,warte
39,78,78,2024-06-24,ausfall,n,52.8,warte
40,77,,2023-10-02,rechnung,k,43.6,warte
41,72,432,2023-10-11,bug,h,37.8,erledigt
42,8,128,2024-10-31,rechnung,h,43.1,erledigt
43,52,652,2024-01-22,rechnung,n,32.8,offen
44,86,86,2024-11-02,rechnung,n,24.1,offen
45,59,299,2024-10-22,ausfall,n,35.9,erledigt
46,18,138,2024-07-10,bug,k,6.3,warte
47,120,360,2024-09-08,rechnung,h,11.8,warte
48,68,,2024-07-29,frage,k,6.7,erledigt
49,53,293,2024-01-17,frage,k,6.9,warte
50,99,459,2024-05-17,rechnung,h,20.4,erledigt
51,41,641,2024-05-29,ausfall,h,21.9,erledigt
52,105,105,2023-10-26,frage,k,25.3,offen
53,100,460,2023-09-09,frage,k,53.3,erledigt
54,53,653,2023-10-20,bug,k,49.1,warte
55,120,480,2024-10-11,ausfall,h,29.1,erledigt
56,36,396,2024-10-22,rechnung,h,16.9,warte
57,55,295,2024-09-15,bug,n,27.4,offen
58,82,442,2024-08-26,frage,n,20.0,warte
59,6,,2023-08-23,frage,n,58.9,warte
60,112,232,2023-12-30,frage,h,7.6,offen
61,34,274,2024-11-02,ausfall,h,15.5,offen
62,32,512,2023-10-11,bug,h,32.6,erledigt
63,14,254,2024-10-24,bug,h,8.0,offen
64,87,447,2024-08-05,ausfall,h,38.3,warte
65,101,461,2023-10-18,bug,h,46.7,warte
66,67,547,2024-01-16,bug,k,26.8,erledigt
67,45,645,2024-08-20,rechnung,h,17.2,offen
68,82,82,2023-11-29,frage,k,45.9,offen
69,29,269,2023-12-12,bug,k,38.2,offen
70,68,668,2024-12-24,bug,n,21.2,warte
71,61,421,2024-09-08,frage,h,10.8,erledigt
72,87,,2023-11-22,bug,k,24.5,offen
73,32,,2024-11-08,ausfall,k,3.8,erledigt
74,90,570,2024-04-18,ausfall,n,47.4,erledigt
75,54,54,2023-11-04,frage,n,41.3,warte
76,14,,2024-12-07,frage,h,40.7,warte
77,98,338,2024-01-07,bug,h,50.3,erledigt
78,9,369,2023-12-13,rechnung,h,49.2,offen
79,40,640,2024-01-15,ausfall,k,15.0,erledigt
80,42,162,2024-07-15,ausfall,n,40.5,erledigt
81,64,184,2024-02-11,bug,n,58.8,offen
82,15,615,2023-09-23,rechnung,h,12.8,erledigt
83,94,,2024-10-03,bug,n,31.8,offen
84,103,223,2024-08-02,rechnung,n,3.3,offen
85,13,493,2023-11-07,frage,h,4.5,warte
86,72,192,2024-02-09,frage,k,6.4,offen
87,53,653,2024-04-02,rechnung,h,52.6,warte
88,66,426,2024-04-13,bug,n,0.5,warte
89,49,49,2023-12-10,ausfall,h,57.7,erledigt
90,41,521,2024-03-18,frage,h,36.0,erledigt
91,97,217,2024-05-16,ausfall,h,41.7,warte
92,34,,2024-09-10,bug,h,33.5,offen
93,4,4,2023-11-30,rechnung,n,29.7,warte
94,90,690,2023-09-25,rechnung,h,40.4,warte
95,25,385,2024-10-01,ausfall,k,17.2,warte
96,37,517,2024-03-08,rechnung,n,58.1,erledigt
97,44,164,2024-03-18,rechnung,k,55.7,offen
98,95,215,2024-11-30,frage,k,54.6,offen
99,69,,2025-01-12,frage,n,17.0,erledigt
100,79,679,2023-10-17,frage,h,16.7,erledigt
101,22,382,2023-08-20,bug,n,15.0,offen
102,36,276,2024-08-18,bug,k,18.5,warte
103,41,281,2023-10-15,ausfall,k,58.5,erledigt
104,59,299,2024-02-14,rechnung,k,13.2,offen
105,80,560,2024-02-18,frage,n,45.0,erledigt
106,83,563,2024-03-30,frage,n,48.3,warte
107,43,43,2024-06-14,ausfall,h,12.7,warte
108,75,315,2024-05-15,rechnung,n,32.4,erledigt
109,50,650,2024-04-02,bug,n,22.8,erledigt
110,16,616,2023-10-15,ausfall,n,52.3,erledigt
111,10,610,2023-11-14,frage,h,4.0,erledigt
112,19,619,2024-09-04,bug,n,33.1,erledigt
113,53,413,2024-08-30,frage,k,51.5,erledigt
114,39,39,2024-12-31,ausfall,k,44.5,warte
115,87,447,2023-12-24,rechnung,h,9.3,erledigt
116,42,42,2023-09-24,rechnung,n,54.9,erledigt
117,23,383,2024-02-29,rechnung,h,53.7,warte
118,9,129,2023-11-16,frage,h,4.2,erledigt
119,105,105,2024-09-26,bug,n,0.4,offen
120,37,517,2024-02-13,frage,k,9.8,offen
121,54,534,2024-04-16,bug,h,29.4,warte
122,106,106,2023-08-15,frage,k,29.3,erledigt
123,112,112,2023-09-20,ausfall,h,51.6,offen
124,2,242,2023-09-29,ausfall,h,27.0,offen
125,37,517,2024-09-05,rechnung,n,12.5,offen
126,69,309,2024-03-01,rechnung,n,4.0,offen
127,15,255,2024-10-23,rechnung,n,3.6,warte
128,55,,2024-04-27,bug,h,52.8,offen
129,41,,2023-10-08,ausfall,n,10.8,erledigt
130,25,265,2023-08-30,ausfall,k,6.1,warte
131,9,249,2023-12-24,rechnung,h,29.1,offen
132,85,685,2023-09-30,rechnung,n,7.1,erledigt
133,7,607,2024-10-09,bug,n,34.7,erledigt
134,59,419,2024-11-06,ausfall,h,29.4,warte
135,2,242,2023-09-21,ausfall,n,21.9,erledigt
136,5,365,2024-04-26,ausfall,h,26.2,offen
137,62,62,2023-12-10,rechnung,n,33.6,offen
138,31,631,2024-08-10,frage,n,50.7,warte
139,47,647,2024-04-12,rechnung,n,34.4,offen
140,106,106,2023-08-30,frage,k,30.7,offen
141,17,,2023-09-02,frage,k,37.7,erledigt
142,115,595,2023-08-18,ausfall,n,35.4,warte
143,101,341,2024-05-26,rechnung,k,53.3,offen
144,103,,2023-11-27,frage,h,6.4,erledigt
145,81,321,2024-11-28,ausfall,n,34.6,offen
146,28,628,2024-01-31,rechnung,n,2.8,erledigt
147,36,,2024-08-22,bug,h,39.7,erledigt
148,26,146,2024-01-05,frage,n,21.7,erledigt
149,13,133,2024-04-03,bug,h,40.4,warte
